,index
æ,0
a,1
ɑ,2
ɒ,3
ɛ,4
œ,5
ə,6
ɜ,7
ɞ,8
ʌ,9
ɔ,10
ɪ,11
e,12
ʏ,13
ø,14
o,15
ʊ,16
i,17
y,18
u,19
p,20
b,21
t,22
d,23
k,24
g,25
q,26
ɢ,27
ʔ,28
f,29
v,30
θ,31
s,32
ð,33
z,34
ʃ,35
ʒ,36
χ,37
ʁ,38
h,39
m,40
n,41
ŋ,42
l,43
ɹ,44
j,45
w,46
ʙ,47
ɾ,48
r,49
ʧ,50
ʤ,51
